show_id,director_name
s301,Vipul Amrutlal Shah
s302,Isaac Florentine
s303,Brett Donowho
s305,Salvador Calvo
s306,Jay Karas
s308,Steve Brill
s309,Robert Markowitz
s310,Thierry Donard
s313,Fazila Allana
s314,Anne Fontaine
s315,Baltasar Kormákur
s316,Sandeep Chatterjee
s317,Jennifer Phang
s318,Kyle Rideout
s319,S.A. Zaidi
s321,Junior Carelli
s321,Rudge Campos
s323,Juliana Vicente
s324,Jenny Gage
s326,Nadia Hallgren
s327,Bryce Wagoner
s328,Brittany Andrews
s329,Rodrigo Reyes
s330,Roger Kumble
s331,Elliott Lester
s332,Antonio Campos
s333,Nicolás López
s335,Terry Loane
s338,Peter Ho
s343,Rarecho
s344,Mukul Anand
s345,Mariano Baez
s346,Ram Gopal Varma
s347,Shivam Nair
s348,Alison Klayman
s352,Takeshi Fukunaga
s353,César Rodrigues
s354,Biswajeet Bora
s355,Abbas Alibhai Burmawalla
s355,Mastan Alibhai Burmawalla
s356,Neeraj Pandey
s357,Sachin Kundalkar
s359,Rajkumar Santoshi
s362,Devashish Makhija
s363,Vikramaditya Motwane
s366,Pali Yahya
s367,Francisco D'Eufemia
s369,Trivikram Srinivas
s370,Toyin Abraham
s371,Raúl Campos
s371,Jan Suter
s373,Shaz Bennett
s374,Soumitra Ranade
s375,Castille Landon
s377,Gervasio Iglesias
s377,Alexis Morante
s378,Leticia Jorge Romero
s379,Alex Díaz
s380,Craig Johnson
s382,Youssef Chahine
s383,Youssef Chahine
s384,Luis Ara
s385,Hussein El Ansary
s386,Cem Yılmaz
s387,Jay Karas
s388,Jay Karas
s389,Jeffrey Walker
s392,Latif Faiziyev
s392,Umesh Mehra
s393,Martin Scorsese
s395,Gil Baroni
s396,J. Michael Long
s398,Jeremiah Jones
s400,Stephen Chiodo
s401,Sean McNamara
s402,Susan Glatzer
s403,Adze Ugah
s404,Eva Vives
s407,Adrian Teh
s408,Joe Robert Cole
s409,Don Bluth
s409,Gary Goldman
s409,Dan Kuenster
s411,Víctor García
s414,Charlie Vaughn
s415,Hao Wu
s416,Chris Blake
s417,Dan Villegas
s418,Jonathan Levine
s419,Brett Haley
s420,Matthew Hope
s421,Yibrán Asuad
s422,Pedro Coutinho
s423,Brett Haley
s424,Vincent Kok
s425,Eva Trobisch
s426,Susan Walter
s427,Hernán Guerschuny
s428,Mike Doyle
s430,Vincent Perez
s431,Antoinette Jadaone
s432,Lee Tamahori
s433,Richard Rich
s434,Richard Rich
s436,Greg Kohs
s437,Adam Bhala Lough
s439,Takeru Nakajima
s439,Yoshiyuki Okada
s440,Trey Haley
s442,Dan Villegas
s443,Rod Blackhurst
s443,Brian McGinn
s444,Lee Hirsch
s445,Esteban Crespo
s446,Atul Malhotra
s447,Manmohan Desai
s448,Khaled Youssef
s449,Ryan Koo
s451,Edward Cotterill
s454,Charlie Siskel
s455,Michael Cuesta
s456,Sam Mendes
s457,Brendon Marotta
s460,Barak Goodman
s461,Sharon Grimberg
s462,Mark Zwonitzer
s463,Steven Bognar
s463,Julia Reichert
s465,Wilson Coneybeare
s466,Sarik Andreasyan
s467,Tony Kaye
s468,Andrea Arnold
s470,Nick Davis
s471,Jenny Popplewell
s473,Mike Elliott
s474,Mary Harron
s475,Kenny Leon
s477,Jerry G. Angelo
s480,Ozan Açıktan
s481,Lekh Tandon
s482,Asif Kapadia
s483,Amy Schumer
s484,Amy Schumer
s485,Karan Bali
s486,Don Bluth
s487,Phil Nibbelink
s487,Simon Wells
s488,Larry Latham
s489,Larry Latham
s490,Rebecca Zlotowski
s491,Youssef Chahine
s492,Jim Hosking
s493,Wael Ehsan
s494,James Toback
s496,Perry Lang
s497,Brad Silberling
s498,Juan Camilo Pinzon
s499,Ismail Farouk
s499,Hazem Fouda
s500,Matheus Souza
s501,Sekhar Kammula
s502,Avinash Das
s503,Carlos Marques-Marcet
s504,Lonzo Nzekwe
s506,Ísold Uggadóttir
s507,Wael Ehsan
s508,Rajkumar Santoshi
s509,Sriram Raghavan
s510,V Vignarajan
s511,V Vignarajan
s512,Josiah Ng
s513,Franck Nataf
s514,Tim Blake Nelson
s515,Lijo Jose Pellissery
s518,Luis Mandoki
s519,Ric Roman Waugh
s520,Damien O’Connor
s521,Damien O’Connor
s522,Ron Howard
s523,Peter Segal
s525,Pan Nalin
s526,Trivikram Srinivas
s527,Abhijeet Deshpande
s528,Paul Thomas Anderson
s529,Tony Bancroft
s529,Scott Christian Sava
s530,Han Yan
s531,Laura Alvea
s531,José Ortuño
s532,Andrucha Waddington
s532,Pedro Waddington
s533,N. Linguswamy
s536,Jay Karas
s537,Rajat Kapoor
s538,Sohail Tatari
s539,Paul Serafini
s542,Andrew Niccol
s543,Juan Zapata
s547,Peyton Reed
s548,Sherif Ismail
s549,Anirban Majumder
s551,Marcus Raboy
s552,Adam Dubin
s553,Raj Kaushal
s554,Ken Barbet
s556,Manish Jha
s558,David Salzberg
s558,Christian Tureaud
s561,Prakash Jha
s562,J.F. Musial
s562,Josh Vietze
s563,Gonzalo López-Gallego
s564,Gareth Evans
s565,Christian Desmares
s565,Franck Ekinci
s567,Jean-Patrick Benes
s568,Christopher Chambers
s569,Raúl Campos
s569,Jan Suter
s572,Aaron Woodley
s573,Marie Madinier
s574,Khaled El Halafawy
s578,August Jakobsson
s579,Eric Abrams
s580,Paul Dugdale
s581,Nia Dinata
s582,Arnab Chaudhuri
s583,Tony Elliott
s585,James Bamford
s586,Brian Volk-Weiss
s588,Jason Winer
s589,Sarah Smith
s590,Anubhav Sinha
s591,Edwin
s592,John Erick Dowdle
s593,James L. Brooks
s594,Samit Kakkad
s595,Rana Ranbir
s600,Santosh Sivan
s601,Alex Lehmann
s602,Hallvard Bræin
s603,John Murlowski
s605,Ricardo Maldonado
s606,A. Raajdheep
s607,Sung-soo Kim
s608,Mike Nicoll
s609,Jason Stone
s612,Bonni Cohen
s612,Jon Shenk
s613,Mati Diop
s614,John Putch
s615,Mez Tharatorn
s618,David Morris
s618,Jacqui Morris
s619,Fabrizio Copano
s619,Augusto Matte
s621,Bonni Cohen
s621,Jon Shenk
s623,Cristi Puiu
s624,Mike Rossiter
s626,Jay Roach
s627,Jay Roach
s628,Jay Roach
s629,Rohit Mittal
s630,Gabe Ibáñez
s632,Tate Taylor
s634,Ertanto Robby Soediskam
s635,Jesse V. Johnson
s636,Anthony Russo
s636,Joe Russo
s637,Levan Tsikurishvili
s638,Johnny Kevorkian
s639,Aleksandr Chernyaev
s639,Fedor Lyass
s643,Prasanth Varma
s644,Nicholas Kharkongor
s645,Gangadhar Salimath
s646,Enrique García Meza
s647,Kwabena Gyansah
s648,Anthony D'Souza
s649,Aziz Ansari
s650,Will Lovelace
s650,Dylan Southern
s651,Spike Jonze
s653,Ajay Bahl
s654,Shadab Khan
s655,Milan Luthria
s656,Sabir Khan
s657,S.S. Rajamouli
s658,S.S. Rajamouli
s659,S.S. Rajamouli
s660,S.S. Rajamouli
s661,S.S. Rajamouli
s662,S.S. Rajamouli
s663,S.S. Rajamouli
s664,Gauravv K Chawla
s665,Çagan Irmak
s666,Müfit Can Saçıntı
s667,Alejandro G. Iñárritu
s671,Vijay Kumar Arora
s672,Stephanie Zwane
s674,Shikha Makan
s675,José Eduardo Belmonte
s676,Louise Alston
s679,Rémy Four
s679,Julien War
s680,Yanyong Kuruaungkoul
s682,Adam MacDonald
s683,Gonzalo López-Gallego
s684,Dave Patten
s685,Michael Petroni
s688,Michael Bay
s689,Michael Bay
s690,Chris Baugh
s692,Nattawut Poonpiriya
s693,Jeff Tremaine
s696,David Chirchirillo
s697,Salima Koroma
s698,Kheiron
s700,Sumitra Bhave
s700,Sunil Sukthankar
s701,Sujoy Ghosh
s702,Justin Lee
s707,Vijay S. Bhanushali
s709,Simon Wells
s710,Phil Weinstein
s711,Phil Weinstein
s712,Haissam Hussain
s713,Burak Aksak
s714,BB Sasore
s715,Ben Kasulke
s716,Zoe Lister-Jones
s717,Aaron Nee
s717,Adam Nee
s718,Alo Sarkar
s719,Tanit Jitnukul
s720,Karan Anshuman
s723,Manop Janjarasskul
s728,Adisorn Tresirikasem
s729,Jordi Llompart
s730,Raja Menon
s731,Mahmoud Sabbagh
s733,Matthew Salleh
s734,Kyran Kelly
s735,Conrad Helten
s738,Adam Wood
s739,Zeke Norton
s740,Karen J. Lloyd
s742,Conrad Helten
s743,Andrew Tan
s743,Michael Goguen
s744,William Lau
s745,Ezekiel Norton
s746,Conrad Helten
s747,Ezekiel Norton
s748,Conrad Helten
s748,Ezekiel Norton
s748,Michael Goguen
s749,Barbra Streisand
s749,Jim Gable
s750,Olivia M. Lamasan
s752,Ashwiny Iyer Tiwari
s753,Kyle Newman
s754,Anurag Basu
s755,Esteban Vidal
s756,Vikram Gandhi
s757,Rajkumar Santoshi
s758,David Zucker
s759,Paul Verhoeven
s763,Deep Joshi
s764,Dava Whisenant
s765,Sam Liu
s766,Katarina Launing
s768,Mitch Gould
s771,Hrishikesh Mukherjee
s772,Florian Schott
s773,Kyzza Terrazas
s774,Sagar Sarhadi
s775,Puri Jagannadh
s776,Lilibet Foster
s777,Joshua Caldwell
s781,Volker Arzt
s781,Angelika Sigl
s782,Mel Smith
s786,Cary Joji Fukunaga
s788,Josh Wakely
s790,Chris Robinson
s791,María Jose Cuevas
s793,Wenn V. Deramas
s795,Mike Judge
s796,Bruce W. Smith
s797,Agasyah Karim
s797,Khalid Kashogi
s799,Khaled El Halafawy
s800,Nadia Hallgren
s802,Julian Jarrold
s803,Adam Shankman
s804,Steve Hickner
s804,Simon J. Smith
s805,Tinge Krishnan
s806,BB Sasore
s807,Ry Russo-Young
s808,Mike Flanagan
s809,Fisher Stevens
s810,Mohamed Khan
s811,Keiko Yagi
s813,Katherine Fairfax Wright
s814,Daniel J. Clark
s817,Rajeev Chaudhari
s818,Anthony Wonke
s819,Constance Marks
s821,Omoni Oboli
s822,Jesse Handsher
s822,Olivier Roland
s823,Maroun Baghdadi
s824,Felix Van Groeningen
s824,Felix van Groeningen
s825,David Stubbs
s827,Federico Veiroj
s828,April Mullen
s831,Alex Timbers
s831,Sam Wrench
s832,Jon Rosenbaum
s833,Kief Davidson
s833,Pedro Kos
s834,Adam Marino
s835,Brandon Camp
s836,Joe Camp
s837,Joe Camp
s838,Alex Ranarivelo
s839,Hannes Stöhr
s840,Hakan Algül
s841,Cate Shortland
s842,Franziska Meyer Price
s844,Toshiyuki Kubooka
s845,Toshiyuki Kubooka
s846,Toshiyuki Kubooka
s847,Jeff Tomsic
s848,Todd Biermann
s849,Ryan Polito
s852,Tamer Bassiouni
s854,Amy Segal
s855,Lonny Price
s858,Aaron Lieber
s861,Ted Braun
s862,Steve Boettcher
s864,Jason Paul Laxamana
s865,Scott Aukerman
s866,Maria Pulera
s867,Dharmesh Darshan
s868,Khaled Marei
s874,Muharrem Gülmez
s874,Sırrı Süreyya Önder
s875,Sushrut Jain
s876,Liam O'Donnell
s878,Anna Stone
s879,Majid Majidi
s883,Priyadarshan
s884,Mahesh Manjrekar
s885,Mahesh Manjrekar
s886,Smeep Kang
s887,Sneha Taurani
s888,Nishil Sheth
s889,Vikramaditya Motwane
s890,Rajiv Chilaka
s891,Venky Kudumula
s892,Priyadarshan
s893,Ram Gopal Varma
s894,Jasbir Bijendra Bhati
s895,Detlev Buck
s896,Detlev Buck
s897,Detlev Buck
s898,Detlev Buck
s901,Joey Kern
s902,Dennis Dugan
s904,Shawn Levy
s905,Scott Martin
s906,Ken Kwapis
s908,Adriana Trigiani
s909,Kaspar Astrup Schröder
s910,Savage Steve Holland
s911,Bigflo & Oli
s911,Jérémie Levypon
s912,Ron Oliver
s913,Nick Broomfield
s914,Eva Orner
s915,Jay Karas
s916,Shannon Hartman
s917,Mike Binder
s918,Jay Karas
s919,Jay Karas
s920,John Fortenberry
s922,Chris Bould
s923,Chris Bould
s924,Kevin Booth
s924,David Johndrow
s926,Jason Sussberg
s926,David Alvarado
s927,Priyadarshan
s928,Stephen Daldry
s929,Vonda Harrell
s929,Daniel Camenisch
s931,Indrasis Acharya
s933,Gajendra Ahire
s933,Viju Mane
s933,Girish Mohite
s933,Ravi Jadhav
s934,Sermiyan Midyat
s935,Susanne Bier
s936,Otilia Portillo Padua
s937,Mikhail Red
s938,Emanuel Hoss-Desmarais
s939,Marianna Palka
s940,Ham Tran
s942,Miguel Conde
s943,Khaled Marei
s944,Supavitra Babul
s945,Raja Chanda
s946,Lance Daly
s947,Mark Harris
s951,Anurag Kashyap
s952,Ridley Scott
s956,Jose Manuel Colón
s959,Ahmet Katıksız
s960,Ryan Coogler
s961,Alexander Nevsky
s962,Kevin MacDonald
s963,Jesse Gustafson
s964,Craig Brewer
s965,Martin Hodara
s968,Gabriela Cowperthwaite
s969,Caroline Suh
s970,Daniel Alfredson
s971,Hiroyuki Seshita
s972,Ethan Hawke
s975,Noriyuki Abe
s976,Noriyuki Abe
s977,Ben Younger
s978,Mahmoud al Massad
s979,Clovis Cornillac
s980,Johnnie To
s982,Deane Taylor
s983,Andrew Wessels
s984,July Hygreck
s987,Jean-François Richet
s988,Vishal Mahadkar
s991,Miguel Cohan
s991,Miguel Cohan
s994,Ted Demme
s997,Abdellatif Kechiche
s998,Woody Allen
s999,Alex Lehmann
s1000,Lev L. Spiro
s1002,Jeremy Saulnier
s1003,Les Mayfield
s1004,Derek Cianfrance
s1005,Rohan Sippy
s1006,Barry Avrich
s1008,Nawapol Thamrongrattanarit
s1009,Bo Burnham
s1009,Christopher Storer
s1010,Bo Burnham
s1010,Christopher Storer
s1012,Jeremy Kenyon Lockyer Corbell
s1014,Jay Surridge
s1015,Elvira Lind
s1016,Kirk Wise
s1017,Raj Kapoor
s1018,Samar Shaikh
s1019,Dawn Porter
s1020,Gabriel Clarke
s1020,Torquil Jones
s1021,Brendan Byrne
s1023,Siddique
s1024,Nisheeta Keni
s1025,Jorge M. Fontana
s1028,Geoffrey Orthwein
s1028,Andrew Sullivan
s1029,Luis Alberto Restrepo
s1029,Andrés Beltrán
s1029,Jaime Rayo
s1030,Nagesh Kukunoor
s1031,Byron Howard
s1031,Chris Williams
s1032,Borja Cobeaga
s1033,Pia Sukanya
s1034,Anurag Kashyap
s1034,Dibakar Banerjee
s1034,Karan Johar
s1034,Zoya Akhtar
s1035,Riccardo Pilizzeri
s1036,Alexandra Dean
s1037,Jelle de Jonge
s1038,Alain Desrochers
s1039,Erik Canuel
s1042,Arthur Penn
s1046,Kaizad Gustad
s1054,Perci Intalan
s1055,Hernán Zin
s1056,Hernán Zin
s1057,Bryn Evans
s1058,Gary Cohen
s1058,Ross Hockrow
s1059,Gayane Petrosyan
s1060,Anthony D'Souza
s1061,Philippe Aractingi
s1064,Richard Sears
s1066,Ahmed Yousry
s1066,Hazem Fouda
s1067,Alê Abreu
s1068,Chris Stokes
s1069,Mar Targarona
s1070,Todor Chapkanov
s1072,Jay Chapman
s1073,Qaushiq Mukherjee
s1075,Gerard Barrett
s1077,Michael Doneger
s1078,Sean McNamara
s1079,Tim Neeves
s1080,Cecilia Peck
s1081,Jody Lambert
s1082,Lin Oeding
s1085,Marc Fouchard
s1086,Picky Talarico
s1087,Danish Aslam
s1088,Lawrence Cheng
s1091,Sridhar Rangayan
s1092,Vadim Jean
s1094,Simon Baker
s1095,Sandra Restrepo
s1097,Troy Miller
s1098,Rian Johnson
s1099,Mae Czarina Cruz
s1100,Andibachtiar Yusuf
s1103,David Ayer
s1104,David Ayer
s1105,Nikhil Nagesh Bhat
s1106,Park Joon-hwa
s1107,Robert Adetuyi
s1112,Antoine Fuqua
s1113,Julien Abraham
s1114,Onur Bilgetay
s1115,Todd S. Yellin
s1117,Lu Yang
s1118,Karan Malhotra
s1120,Vivieno Caldinelli
s1121,Vivieno Caldinelli
s1122,Vivieno Caldinelli
s1123,Tejas Prabha Vijay Deoskar
s1124,Xavier Gens
s1127,Marcelo Galvão
s1129,Harry Chaskin
s1130,Soumendra Padhi
s1131,Mike Wiluan
s1132,Andreas Johnsen
s1133,Anvita Dutt
s1134,Rima Das
s1135,Paul Solet
s1135,Rick Benattar
s1136,Don Michael Paul
s1137,David McCracken
s1138,Lee Hirsch
s1142,Steve Antin
s1143,Jon Manning
s1144,Yann Gozlan
s1146,Lee Chang-dong
s1147,Phillip Youmans
s1148,Gerard McMurray
s1150,Cary Murnion
s1150,Jonathan Milott
s1152,Sarah Adina Smith
s1153,Daniel Mann
s1154,Erik Matti
s1155,Jun Lana
s1156,Angelina Jolie
s1157,Almunsif Alsuwaisi
s1158,Hakan Algül
s1159,Naman Nitin Mukesh
s1160,Sachin Yardi
s1161,Daniele Thompson
s1162,Travis Zariwny
s1165,Jarand Herdal
s1167,Angga Dwimas Sasongko
s1168,Néstor Sánchez Sotelo
s1170,Youssef Chahine
s1171,Asim Abbasi
s1172,Madhur Bhandarkar
s1173,Matt Palmer
s1176,Momoko Kamiya
s1177,Momoko Kamiya
s1178,Momoko Kamiya
s1182,Philippa Lowthorpe
s1183,Vlad Yudin
s1184,Daniel Goldhaber
s1186,Alexis Morante
s1187,Carlos Bolado
s1188,Scott Marshall Smith
s1189,Lisa Arnold
s1191,Peter Sattler
s1195,Harry Elfont
s1195,Deborah Kaplan
s1196,Mae Czarina Cruz
s1197,Ahmed Nader Galal
s1198,Ben Shelton
s1200,Shanawaz Nellikunnil
s1201,Bernard Rose
s1204,Frank E. Abney III
s1205,Justin Pemberton
s1206,Noushad
s1208,Erik Kling
s1208,Kevin Peaty
s1211,Olivier Marchal
s1212,Mark O'Connor
s1216,Maha Venkatesh
s1217,Chito S. Roño
s1218,Arati Kadav
s1219,Elsa Flores Almaraz
s1219,Richard J Montoya
s1220,Jan Suter
s1220,Raúl Campos Delgado
s1221,Raúl Campos
